address,name,instructions,known,unknown,blocks,literals,calls,dynamic_branches
0x8C01EDD4,sub_8C01EDD4,30,30,0,2,3,2,0
0x8C01EE10,sub_8C01EE10,14,14,0,1,2,1,0
0x8C01EE56,sub_8C01EE56,40,40,0,10,4,1,0
0x8C01EE58,sub_8C01EE58,39,39,0,10,4,1,0
0x8C01EEA6,sub_8C01EEA6,26,26,0,3,6,0,0
0x8C01EEDA,sub_8C01EEDA,99,99,0,19,3,1,0
0x8C01EFC0,sub_8C01EFC0,9,9,0,1,3,0,0
0x8C01EFD2,sub_8C01EFD2,80,80,0,13,8,3,0
0x8C01F098,sub_8C01F098,180,180,0,36,19,10,0
0x8C01F368,sub_8C01F368,154,154,0,29,9,3,0
0x8C01F4CA,sub_8C01F4CA,131,131,0,22,8,1,0
0x8C01F5FC,sub_8C01F5FC,121,121,0,26,19,19,0
0x8C01F6EE,sub_8C01F6EE,130,130,0,27,10,9,0
0x8C01F854,sub_8C01F854,131,131,0,27,18,12,0
0x8C01F95A,sub_8C01F95A,38,38,0,12,5,5,0
0x8C01F9A6,sub_8C01F9A6,18,18,0,2,6,1,0
0x8C01F9CA,sub_8C01F9CA,157,157,0,42,23,14,0
0x8C01FB8C,sub_8C01FB8C,39,39,0,8,9,3,0
0x8C01FBDA,sub_8C01FBDA,61,61,0,11,16,5,0
0x8C01FC54,sub_8C01FC54,26,26,0,4,2,1,0
0x8C01FCCE,sub_8C01FCCE,36,36,0,5,3,1,0
0x8C01FCD0,sub_8C01FCD0,35,35,0,5,3,1,0
0x8C01FD1C,sub_8C01FD1C,32,32,0,9,2,3,0
0x8C01FD5C,sub_8C01FD5C,29,29,0,6,2,1,0
0x8C01FD96,sub_8C01FD96,155,155,0,28,46,6,0
0x8C01FF48,sub_8C01FF48,149,149,0,40,34,25,0
0x8C0200F0,sub_8C0200F0,67,67,0,14,19,7,0
0x8C020176,sub_8C020176,90,90,0,30,18,7,0
0x8C02022A,sub_8C02022A,13,13,0,4,2,1,0
0x8C020244,sub_8C020244,4,4,0,1,1,0,0
0x8C02024C,sub_8C02024C,53,53,0,8,14,3,0
0x8C0202B6,sub_8C0202B6,16,16,0,3,4,2,0
0x8C020388,sub_8C020388,90,90,0,27,21,15,0
0x8C020488,sub_8C020488,266,266,0,70,83,49,0
0x8C0209B6,sub_8C0209B6,103,103,0,24,32,16,0
0x8C020AE8,sub_8C020AE8,21,21,0,6,6,3,0
0x8C020B54,sub_8C020B54,31,31,0,7,12,4,0
0x8C020BDE,sub_8C020BDE,84,84,0,24,22,15,0
0x8C020BE0,sub_8C020BE0,83,83,0,24,22,15,0
0x8C020C86,sub_8C020C86,33,33,0,1,3,1,0
0x8C020D1E,sub_8C020D1E,32,32,0,2,5,2,0
0x8C020D20,sub_8C020D20,31,31,0,2,5,2,0
0x8C020D78,sub_8C020D78,34,34,0,11,6,0,0
0x8C020DBC,sub_8C020DBC,88,88,0,13,4,2,0
0x8C020E6C,sub_8C020E6C,211,211,0,50,10,4,0
0x8C021040,sub_8C021040,517,517,0,76,5,11,0
0x8C021476,sub_8C021476,2200,2200,0,341,102,43,0
0x8C02274C,sub_8C02274C,36,36,0,1,2,0,0
0x8C022794,sub_8C022794,6,6,0,1,2,0,0
0x8C0227A0,sub_8C0227A0,81,81,0,16,13,4,0
0x8C022884,sub_8C022884,36,36,0,3,4,2,0
0x8C0228CC,sub_8C0228CC,18,18,0,3,4,1,0
