target,references,clustered_references,instructions,calls,stage
0x8C058782,2,2,0,0,candidate
0x8C0588EC,2,2,0,0,candidate
0x8C059908,2,2,0,0,candidate
0x8C059E6A,2,2,0,0,candidate
0x8C05B596,2,2,0,0,candidate
0x8C05C0EA,2,2,0,0,candidate
0x8C05C0EE,2,2,0,0,candidate
0x8C05D0D8,2,2,0,0,candidate
0x8C05D156,2,2,0,0,candidate
0x8C05D1CA,2,2,0,0,candidate
0x8C05EDFC,2,2,0,0,candidate
0x8C05F9B0,2,2,0,0,candidate
0x8C05FAB8,2,2,0,0,candidate
0x8C062258,2,2,0,0,candidate
0x8C068304,2,2,0,0,candidate
0x8C069230,2,2,0,0,candidate
0x8C06989A,2,2,0,0,candidate
0x8C06CBE2,2,2,0,0,candidate
0x8C06CCDC,2,2,0,0,candidate
0x8C06CD06,2,2,0,0,candidate
0x8C06F1E0,2,2,0,0,candidate
0x8C0704C0,2,2,0,0,candidate
0x8C070EB0,2,2,0,0,candidate
0x8C071ED0,2,2,0,0,candidate
0x8C072310,2,2,0,0,candidate
0x8C072C00,2,2,0,0,candidate
0x8C072FA0,2,2,0,0,candidate
0x8C074040,2,2,0,0,candidate
0x8C074070,2,2,0,0,candidate
0x8C074960,2,2,0,0,candidate
0x8C075BC0,2,2,0,0,candidate
0x8C075E50,2,2,0,0,candidate
0x8C076260,2,2,0,0,candidate
0x8C077294,2,2,0,0,candidate
0x8C0775E8,2,2,0,0,candidate
0x8C077660,2,2,0,0,candidate
0x8C077C18,2,2,0,0,candidate
0x8C077FFE,2,2,0,0,candidate
0x8C078880,2,2,0,0,candidate
0x8C07CEAC,2,2,0,0,candidate
0x8C07CFD0,2,2,0,0,candidate
0x8C07D050,2,2,0,0,candidate
0x8C07D1CE,2,2,0,0,candidate
0x8C07E3D0,2,2,0,0,candidate
0x8C07E57C,2,2,0,0,candidate
0x8C07E63E,2,2,0,0,candidate
0x8C088090,2,2,0,0,candidate
0x8C088092,2,2,0,0,candidate
0x8C08F31A,2,2,0,0,candidate
0x8C092E84,2,2,0,0,candidate
0x8C094040,2,2,0,0,candidate
0x8C097590,2,2,0,0,candidate
